Removed Pin From Net: NetName=3.3V_MCU Pin=C?-1
Removed Pin From Net: NetName=GND Pin=IC?-3
Removed Pin From Net: NetName=3.3V_MCU Pin=IC?-6
Removed Pin From Net: NetName=GND Pin=IC?-7
Removed Pin From Net: NetName=IMU_CLK_OUT Pin=Y?-2
Removed Member From Class: ClassName=logger_power Member=AC?
Removed Member From Class: ClassName=logger_mcu Member=U?
Change Component Footprint: Designator=IC? Old Footprint=SON65P200X200X90-7N New Footprint=74AXP2T3407GSX
Change Component Comment : Designator=IC? Old Comment=MCP1700T-3302E_MAY New Comment=74LVC2G00GS,115
Change component parameters: Designator = "IC?" ("IC?"); Footprint = "SON65P200X200X90-7N"; UniqueID = "\AQCVYBAT" ("\AQCVYBAT")
Added Pin To Net: NetName=I2C1_SDA Pin=U?-6
Added Pin To Net: NetName=I2C1_SDA Pin=U?-6
Added Pin To Net: NetName=I2C1_SCL Pin=U?-7
Added Pin To Net: NetName=IMU_CLK_IN Pin=Y?-1
Added Pin To Net: NetName=IMU_CLK_OUT Pin=Y?-2
Added Pin To Net: NetName=3.3V_IMU Pin=Q?-3
Added Net: Name=3.3V_IMU
Added Pin To Net: NetName=3.3V_MIC Pin=Q?-3
Added Pin To Net: NetName=3.3V_MIC Pin=R?-1
Added Net: Name=3.3V_MIC
Added Pin To Net: NetName=3.3V_TP Pin=Q?-3
Added Pin To Net: NetName=3.3V_TP Pin=R?-2
Added Pin To Net: NetName=3.3V_TP Pin=U?-5
Added Net: Name=3.3V_TP
Added Pin To Net: NetName=3.3V Pin=C?-1
Added Pin To Net: NetName=3.3V Pin=IC?-1
Added Pin To Net: NetName=3.3V Pin=LED?-1
Added Pin To Net: NetName=3.3V Pin=Q?-2
Added Pin To Net: NetName=3.3V Pin=Q?-2
Added Pin To Net: NetName=3.3V Pin=Q?-2
Added Pin To Net: NetName=3.3V Pin=R?-1
Added Pin To Net: NetName=3.3V Pin=R?-1
Added Pin To Net: NetName=3.3V Pin=R?-1
Added Pin To Net: NetName=3.3V Pin=R?-2
Added Pin To Net: NetName=3.3V Pin=U?-1
Added Net: Name=3.3V
Added Pin To Net: NetName=5V Pin=C?-1
Added Pin To Net: NetName=5V Pin=IC?-1
Added Pin To Net: NetName=5V Pin=IC?-2
Added Pin To Net: NetName=5V Pin=R?-2
Added Net: Name=5V
Added Pin To Net: NetName=IMU_EN Pin=Q?-1
Added Pin To Net: NetName=IMU_EN Pin=R?-2
Added Net: Name=IMU_EN
Added Pin To Net: NetName=LIGHT_INT Pin=R?-1
Added Pin To Net: NetName=LIGHT_INT Pin=U?-5
Added Net: Name=LIGHT_INT
Added Pin To Net: NetName=MIC_EN Pin=Q?-1
Added Pin To Net: NetName=MIC_EN Pin=R?-2
Added Net: Name=MIC_EN
Added Pin To Net: NetName=MIC_ENV Pin=C?-1
Added Pin To Net: NetName=MIC_ENV Pin=R?-1
Added Pin To Net: NetName=MIC_ENV Pin=R?-1
Added Net: Name=MIC_ENV
Added Pin To Net: NetName=MIC_SIG Pin=C?-1
Added Pin To Net: NetName=MIC_SIG Pin=IC?-1
Added Pin To Net: NetName=MIC_SIG Pin=R?-1
Added Net: Name=MIC_SIG
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=IC?-6
Added Net: Name=NetC?_1
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=IC?-1
Added Pin To Net: NetName=NetC?_2 Pin=IC?-2
Added Pin To Net: NetName=NetC?_2 Pin=R?-1
Added Pin To Net: NetName=NetC?_2 Pin=S?-3
Added Pin To Net: NetName=NetC?_2 Pin=S?-4
Added Net: Name=NetC?_2
Added Pin To Net: NetName=NetD?_2 Pin=IC?-7
Added Net: Name=NetD?_2
Added Pin To Net: NetName=NetDS?_1 Pin=DS?-1
Added Pin To Net: NetName=NetDS?_1 Pin=R?-1
Added Net: Name=NetDS?_1
Added Pin To Net: NetName=NetDS?_2 Pin=DS?-2
Added Pin To Net: NetName=NetDS?_2 Pin=IC?-5
Added Net: Name=NetDS?_2
Added Pin To Net: NetName=NetIC?_2 Pin=IC?-2
Added Pin To Net: NetName=NetIC?_2 Pin=R?-1
Added Pin To Net: NetName=NetIC?_2 Pin=R?-2
Added Net: Name=NetIC?_2
Added Pin To Net: NetName=NetIC?_3 Pin=IC?-3
Added Pin To Net: NetName=NetIC?_3 Pin=R?-1
Added Pin To Net: NetName=NetIC?_3 Pin=R?-2
Added Net: Name=NetIC?_3
Added Pin To Net: NetName=NetIC?_5 Pin=IC?-5
Added Pin To Net: NetName=NetIC?_5 Pin=IC?-6
Added Pin To Net: NetName=NetIC?_5 Pin=IC?-7
Added Pin To Net: NetName=NetIC?_5 Pin=R?-1
Added Net: Name=NetIC?_5
Added Pin To Net: NetName=NetIC?_6 Pin=IC?-6
Added Pin To Net: NetName=NetIC?_6 Pin=R?-1
Added Pin To Net: NetName=NetIC?_6 Pin=R?-2
Added Net: Name=NetIC?_6
Added Pin To Net: NetName=NetIC?_8 Pin=R?-2
Added Net: Name=NetIC?_8
Added Pin To Net: NetName=PWR_EN Pin=IC?-3
Added Pin To Net: NetName=PWR_EN Pin=IC?-4
Added Pin To Net: NetName=PWR_EN Pin=R?-2
Added Net: Name=PWR_EN
Added Pin To Net: NetName=TP_EN Pin=Q?-1
Added Pin To Net: NetName=TP_EN Pin=R?-2
Added Net: Name=TP_EN
Added Pin To Net: NetName=TP_INT Pin=R?-1
Added Pin To Net: NetName=TP_INT Pin=U?-8
Added Net: Name=TP_INT
Added Pin To Net: NetName=VBAT Pin=C?-1
Added Pin To Net: NetName=VBAT Pin=IC?-3
Added Pin To Net: NetName=VBAT Pin=IC?-4
Added Pin To Net: NetName=VBAT Pin=IC?-8
Added Net: Name=VBAT
Added Member To Class: ClassName=logger_mcu Member=Component C? 0.10µF
Added Member To Class: ClassName=logger_mcu Member=Component C? 15pF
Added Member To Class: ClassName=logger_mcu Member=Component C? 4.7µF
Added Member To Class: ClassName=logger_mcu Member=Component C? 15pF
Added Member To Class: ClassName=logger_power Member=Component C? 4.7µF
Added Member To Class: ClassName=logger_power Member=Component C? 4.7µF
Added Member To Class: ClassName=logger_power Member=Component C? 1µF
Added Member To Class: ClassName=logger_power Member=Component C? 10000pF
Added Member To Class: ClassName=logger_power Member=Component C? 1µF
Added Member To Class: ClassName=logger_power Member=Component C? 1µF
Added Member To Class: ClassName=logger_sensors Member=Component C? 15pF
Added Member To Class: ClassName=logger_sensors Member=Component C? 0.10µF
Added Member To Class: ClassName=logger_sensors Member=Component C? 0.10µF
Added Member To Class: ClassName=logger_sensors Member=Component C? 0.10µF
Added Member To Class: ClassName=logger_sensors Member=Component C? 4.7µF
Added Member To Class: ClassName=logger_sensors Member=Component C? 15pF
Added Member To Class: ClassName=logger_sensors Member=Component C? 4.7µF
Added Member To Class: ClassName=logger_sensors Member=Component C? 1µF
Added Member To Class: ClassName=logger_sensors Member=Component C? 10µF
Added Member To Class: ClassName=logger_power Member=Component DS? LTST-C190KFKT
Added Member To Class: ClassName=logger_power Member=Component IC? MCP73831T-2ACI_MC
Added Member To Class: ClassName=logger_power Member=Component IC? NCP718BMT330TBG
Added Member To Class: ClassName=logger_sensors Member=Component IC? TLV9062IDSGT
Added Member To Class: ClassName=logger_sensors Member=Component LED? ASMB-KTF0-0A306
Added Member To Class: ClassName=logger_sensors Member=Component MK? SPV1840LR5H-B
Added Member To Class: ClassName=logger_power Member=Component Q? RE1C002ZPTL
Added Member To Class: ClassName=logger_power Member=Component Q? RE1C002ZPTL
Added Member To Class: ClassName=logger_power Member=Component Q? RE1C002ZPTL
Added Member To Class: ClassName=logger_mcu Member=Component R? 10k
Added Member To Class: ClassName=logger_mcu Member=Component R? 10k
Added Member To Class: ClassName=logger_power Member=Component R? 80.6k
Added Member To Class: ClassName=logger_power Member=Component R? 1M
Added Member To Class: ClassName=logger_power Member=Component R? 10k
Added Member To Class: ClassName=logger_power Member=Component R? 1M
Added Member To Class: ClassName=logger_power Member=Component R? 100k
Added Member To Class: ClassName=logger_power Member=Component R? 1M
Added Member To Class: ClassName=logger_power Member=Component R? 100k
Added Member To Class: ClassName=logger_sensors Member=Component R? 0
Added Member To Class: ClassName=logger_sensors Member=Component R? 100k
Added Member To Class: ClassName=logger_sensors Member=Component R? 100k
Added Member To Class: ClassName=logger_sensors Member=Component R? 10k
Added Member To Class: ClassName=logger_sensors Member=Component R? 10k
Added Member To Class: ClassName=logger_sensors Member=Component R? 4.7k
Added Member To Class: ClassName=logger_sensors Member=Component R? 100k
Added Member To Class: ClassName=logger_sensors Member=Component R? 4.7k
Added Member To Class: ClassName=logger_sensors Member=Component R? 10k
Added Member To Class: ClassName=logger_sensors Member=Component R? 51.1k
Added Member To Class: ClassName=logger_sensors Member=Component R? 100k
Added Member To Class: ClassName=logger_sensors Member=Component R? 100k
Added Member To Class: ClassName=logger_power Member=Component S? EVP-BB4A9B000
Added Member To Class: ClassName=logger_sensors Member=Component U? TCS34725FN
Added Member To Class: ClassName=logger_mcu Member=Component Y? NX3215SA-32.768K-STD-MUA-8
